employee_id,name,department,salary,hire_date,city
1000,Eve Grace,Marketing,71230,2023-02-13,Berlin
1001,Bob Carol,Engineering,87522,2019-11-15,Madrid
1002,Jack Hugo,Support,51796,2022-09-01,Berlin
1003,Frank Jack,Engineering,56879,2022-04-05,Madrid
1004,Bob Grace,Marketing,76659,2023-06-23,London
1005,Frank Alice,Support,49150,2020-12-07,Madrid
1006,Ivy Ivy,Support,109087,2021-10-17,London
1007,Hugo Frank,Marketing,480000,2020-10-15,Madrid
1008,Jack Alice,Engineering,99986,2024-04-05,Madrid
1009,Hugo Carol,Engineering,78132,2023-04-07,Berlin
1010,Frank Eve,Engineering,66013,2020-09-13,Madrid
1011,Grace Dan,Engineering,81077,2022-03-31,Berlin
1012,Hugo Bob,Marketing,74110,2024-06-05,Berlin
1013,Hugo Alice,Engineering,65713,2019-05-02,Berlin
1014,Ivy Ivy,Engineering,72023,2018-05-27,London
1015,Jack Eve,Support,96890,2024-10-10,Madrid
1016,Frank Frank,Engineering,87899,2023-02-12,Madrid
1017,Frank Ivy,Support,100333,2023-02-05,Berlin
1018,Hugo Bob,Engineering,91966,2022-01-28,Madrid
1019,Frank Eve,Support,45143,2021-10-30,Paris
1020,Alice Carol,Marketing,91012,2019-03-12,Madrid
1021,Bob Eve,Support,98860,2022-08-04,Madrid
1022,Grace Dan,Marketing,57290,2019-05-10,Madrid
1023,Bob Grace,Engineering,91975,2021-10-16,London
1024,Hugo Jack,Support,95603,2023-01-20,Madrid
1025,Alice Ivy,Engineering,108167,2023-08-06,Berlin
1026,Hugo Ivy,Sales,99972,2024-07-24,Madrid
1027,Bob Grace,Support,92873,2019-06-10,Paris
1028,Grace Jack,Sales,78037,2022-04-25,Paris
1029,Eve Hugo,Sales,71074,2021-11-05,Madrid
1030,Ivy Eve,Support,72049,2024-10-03,Paris
1031,Dan Dan,Sales,91653,2024-03-17,Paris
1032,Carol Carol,Support,89997,2021-11-15,Paris
1033,Frank Ivy,Marketing,91553,2019-04-18,Berlin
1034,Eve Grace,Engineering,89187,2023-12-27,London
1035,Carol Alice,Engineering,46656,2022-04-10,Madrid
1036,Eve Eve,Sales,62496,2019-10-22,London
1037,Dan Ivy,Engineering,90258,2021-04-23,Paris
1038,Bob Jack,Support,98348,2023-01-28,Madrid
1039,Grace Dan,Support,93654,2024-04-17,Paris
1040,Grace Grace,Marketing,90412,2018-07-12,Paris
1041,Alice Alice,HR,108296,2024-03-11,Madrid
1042,Dan Frank,Support,85669,2022-12-20,Madrid
1043,Eve Hugo,Sales,95865,2020-03-03,London
1044,Ivy Bob,Marketing,57253,2019-12-13,London
1045,Ivy Eve,Sales,73082,2021-02-17,Madrid
1046,Alice Frank,Marketing,83272,2020-11-10,Madrid
1047,Frank Jack,Engineering,47617,2019-09-22,Paris
1048,Ivy Frank,Engineering,77148,2024-06-03,Paris
1049,Carol Ivy,Engineering,79432,2020-06-19,Madrid
1050,Ivy Grace,Engineering,72258,2024-02-03,Paris
1051,Frank Frank,HR,59496,2020-05-23,Paris
1052,Hugo Ivy,Engineering,59316,2023-12-13,London
1053,Hugo Dan,Support,88839,2021-11-18,Madrid
